states,year,Life Expectancy,Crime Rate Share,safe,state code,GDP,type,value
Andaman & Nicobar Island,2010,72,0.3,yes,AN,"4,343",Death Rate,4.3
Andhra Pradesh,2010,66,5.9,no,AD,"3,19,863",Death Rate,7.6
Arunanchal Pradesh,2010,76,1.5,yes,AR,"9,021",Death Rate,5.9
Assam,2010,63,1.6,yes,AS,"1,12,687",Death Rate,8.2
Bihar,2010,66,1.8,yes,BR,"2,03,554",Death Rate,6.8
Chandigarh,2010,80,1.8,yes,CH,"20,013",Death Rate,3.9
Chhattisgarh,2010,80,1.9,yes,CG,"1,19,419",Death Rate,8
NCT of Delhi,2010,82,8.9,no,DL,"2,52,752",Death Rate,4.2
Goa,2010,78,7.7,no,GA,"33,605",Death Rate,6.6
Gujarat,2010,69,5.9,no,GJ,"5,21,518",Death Rate,6.7
Haryana,2010,70,1.1,yes,HR,"2,60,621",Death Rate,6.6
Himachal Pradesh,2010,72,1.2,yes,HP,"57,452",Death Rate,6.9
Jammu & Kashmir,2010,71,9.7,no,JK,"58,072",Death Rate,5.7
Jharkhand,2010,75,2.2,yes,JH,"1,27,281",Death Rate,7
Karnataka,2010,70,4.6,moderate,KA,"41,070",Death Rate,7.1
Kerala,2010,77,8.8,no,KL,"2,63,773",Death Rate,7
Madhya Pradesh,2010,64,4.2,moderate,MP,"2,63,395",Death Rate,8.3
Maharashtra,2010,72,6.9,no,MH,"10,49,150",Death Rate,6.5
Manipur,2010,74,1.4,yes,MN,"9,137",Death Rate,4.2
Meghalaya,2010,75,1.3,yes,ML,"14,582",Death Rate,7.9
Mizoram,2010,75,0.1,yes,MZ,"6,387",Death Rate,4.5
Nagaland,2010,70,0.1,yes,NL,"11,759",Death Rate,3.6
Odisha,2010,64,1.6,yes,OD,"1,97,529",Death Rate,8.6
Puducherry,2010,82,0.2,yes,PY,"13,091",Death Rate,7.4
Punjab,2010,72,1.1,yes,PB,"2,26,204",Death Rate,7
Rajasthan,2010,68,3.5,moderate,RJ,"3,38,348",Death Rate,6.7
Sikkim,2010,83,1.2,yes,SK,"7,411",Death Rate,5.6
Tamil Nadu,2010,71,4.6,moderate,TN,"5,84,896",Death Rate,7.6
Telangana,2010,85,NA,NA,TS,"2,63,897",Death Rate,NA
Tripura,2010,82,0.5,yes,TR,"17,867",Death Rate,5
Uttar Pradesh,2010,63,1.4,yes,UP,"6,00,285",Death Rate,8.1
Uttarakhand,2010,82,1.7,yes,UK,"83,969",Death Rate,6.3
West Bengal,2010,69,3.7,moderate,WB,"4,60,958",Death Rate,6
Andaman & Nicobar Island,2010,,,,,,Birth Rate,15.6
Andhra Pradesh,2010,,,,,,Birth Rate,17.9
Arunanchal Pradesh,2010,,,,,,Birth Rate,20.5
Assam,2010,,,,,,Birth Rate,23.2
Bihar,2010,,,,,,Birth Rate,28.1
Chandigarh,2010,,,,,,Birth Rate,15.6
Chhattisgarh,2010,,,,,,Birth Rate,25.3
Daman & Diu,2010,,,,,,Birth Rate,26.6
NCT of Delhi,2010,,,,,,Birth Rate,17.8
Goa,2010,,,,,,Birth Rate,13.2
Gujarat,2010,,,,,,Birth Rate,21.8
Haryana,2010,,,,,,Birth Rate,22.3
Himachal Pradesh,2010,,,,,,Birth Rate,16.9
Jammu & Kashmir,2010,,,,,,Birth Rate,18.3
Jharkhand,2010,,,,,,Birth Rate,25.3
Karnataka,2010,,,,,,Birth Rate,19.2
Kerala,2010,,,,,,Birth Rate,14.8
Lakshadweep,2010,,,,,,Birth Rate,14.3
Madhya Pradesh,2010,,,,,,Birth Rate,27.3
Maharashtra,2010,,,,,,Birth Rate,17.1
