state_code,states,locations,year,total,latitude,longitude
AN,Andaman & Nicobar Island,School Buildings,2015,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Commercial Buildings,2015,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Residential Buildings,2015,10,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Government Buildings ,2015,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Mines,2015,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Factory Manufacturing,2015,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Other Factories ,2015,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Train,2015,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Automobile Vehicles,2015,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Passenger Vehicles,2015,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Private Vehicles,2015,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Goods carriers vehicles,2015,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Others ,2015,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,School Buildings,2016,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Commercial Buildings,2016,5,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Residential Buildings,2016,8,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Government Buildings ,2016,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Mines,2016,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Factory Manufacturing,2016,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Other Factories ,2016,0,11.66702557,92.73598262
AN,Andaman & Nicobar Island,Train,2016,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Automobile Vehicles,2016,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Passenger Vehicles,2016,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Private Vehicles,2016,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Goods carriers vehicles,2016,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Others ,2016,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,School Buildings,2017,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Commercial Buildings,2017,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Residential Buildings,2017,15,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Government Buildings ,2017,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Mines,2017,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Factory Manufacturing,2017,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Other Factories ,2017,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Train,2017,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Automobile Vehicles,2017,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Passenger Vehicles,2017,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Private Vehicles,2017,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Goods carriers vehicles,2017,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Others ,2017,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,School Buildings,2018,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Commercial Buildings,2018,0,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Residential Buildings,2018,8,14.7504291,78.57002559
AN,Andaman & Nicobar Island,Government Buildings ,2018,0,27.10039878,93.61660071
AN,Andaman & Nicobar Island,Mines,2018,0,27.10039878,93.61660071
AN,Andaman & Nicobar Island,Factory Manufacturing,2018,0,27.10039878,93.61660071
AN,Andaman & Nicobar Island,Other Factories ,2018,0,27.10039878,93.61660071
AN,Andaman & Nicobar Island,Train,2018,0,27.10039878,93.61660071
AN,Andaman & Nicobar Island,Automobile Vehicles,2018,0,27.10039878,93.61660071
