states,year,infant_mortality_rate,tt_immunization,bcg_immunization,state_code,Percentage_Coverage,pnuemonia_deaths,latitude,longitude,state_code
Andaman & Nicobar Island,2015,22,35.7,64.6,AN,73.2,4,11.66702557,92.73598262,AN
Andhra Pradesh,2015,39,85.5,101,AD,65.3,109,14.7504291,78.57002559,AD
Arunanchal Pradesh,2015,30,21.2,75.3,AR,38.2,6,27.10039878,93.61660071,AR
Assam,2015,49,30.3,97.3,AS,47.1,397,26.7499809,94.21666744,AS
Bihar,2015,42,14.6,84.7,BR,61.7,4,25.78541445,87.4799727,BR
Chandigarh,2015,23,21.6,108.4,CH,76.4,58,30.71999697,76.78000565,CH
Chhattisgarh,2015,43,99.5,98,CG,79.5,665,22.09042035,82.15998734,CG
Daman & Diu,2015,26,93,85.2,DN,43.2,13,20.26657819,73.0166178,DD
NCT of Delhi,2015,20,8.9,75.5,DL,68,412,28.6699929,77.23000403,DL
Goa,2015,10,61.9,99.9,GA,88.4,15,15.491997,73.81800065,GA
Gujarat,2015,35,68.2,97.8,GJ,50.4,373,22.2587,71.1924,GJ
Haryana,2015,36,82.2,104.1,HR,62.2,187,28.45000633,77.01999101,HR
Himachal Pradesh,2015,32,86.1,111.3,HP,69.5,63,31.10002545,77.16659704,HP
Jammu & Kashmir,2015,34,70,110.7,JK,75.1,34,34.29995933,74.46665849,JK
Jharkhand,2015,34,38.1,97.2,JH,61.9,98,23.80039349,86.41998572,JH
Karnataka,2015,29,68.2,100,KA,62.6,351,12.57038129,76.91999711,KA
Kerala,2015,12,67.3,100.2,KL,82.1,22,8.900372741,76.56999263,KL
Lakshadweep,2015,20,31.1,58.3,LD,89,5,10.56257331,72.63686717,LD
Madhya Pradesh,2015,52,76.1,86.3,MP,53.6,1083,21.30039105,76.13001949,MP
Maharashtra,2015,22,91.8,102.4,MH,56.3,1155,19.25023195,73.16017493,MH
Manipur,2015,11,34.2,136.9,MN,65.8,11,24.79997072,93.95001705,MN
Meghalaya,2015,46,75.1,128.7,ML,61.5,435,25.57049217,91.8800142,ML
Mizoram,2015,32,87.5,134.1,MZ,50.3,265,23.71039899,92.72001461,MZ
Nagaland,2015,14,41.3,56.2,NL,35.7,21,25.6669979,94.11657019,NL
Odisha,2015,49,94.4,92.6,OD,78.6,1011,19.82042971,85.90001746,OD
Puducherry,2015,14,46.8,179.8,PY,91.4,3,11.93499371,79.83000037,PY
Punjab,2015,24,74,102.5,PB,89.1,132,31.51997398,75.98000281,PB
Rajasthan,2015,46,33.3,78.8,RJ,54.8,1171,26.44999921,74.63998124,RJ
Sikkim,2015,19,103.8,80.9,SK,83,28,27.3333303,88.6166475,SK
Tamil Nadu,2015,20,70.8,102.5,TN,69.7,389,12.92038576,79.15004187,TN
Telangana,2015,35,65.2,70.5,TS,68.1,57,18.1124,79.0193,TS
Tripura,2015,21,39.7,104.5,TR,54.5,126,23.83540428,91.27999914,TR
Uttar Pradesh,2015,48,43.4,94.6,UP,51.1,58,27.59998069,78.05000565,UP
Uttarakhand,2015,33,63.4,98.6,UK,57.7,33,30.32040895,78.05000565,UK
West Bengal,2015,28,47.7,109.9,WB,84.4,882,22.58039044,88.32994665,WB
Andaman & Nicobar Island,2016,20,38.4,83.3,AN,55.5,4,11.66702557,92.73598262,AN
Andhra Pradesh,2016,37,87.4,105,AD,73.8,215,14.7504291,78.57002559,AD
Arunanchal Pradesh,2016,30,17.2,60.8,AR,59.1,16,27.10039878,93.61660071,AR
Assam,2016,47,30.8,89.2,AS,75,388,26.7499809,94.21666744,AS
Bihar,2016,42,16.4,84.9,BR,80.6,213,25.78541445,87.4799727,BR
Chandigarh,2016,21,34.6,152.9,CH,84.7,38,30.71999697,76.78000565,CH
Chhattisgarh,2016,41,96.8,85.8,CG,83.5,601,22.09042035,82.15998734,CG
Daman & Diu,2016,21,130.5,79.7,DN,82.4,6,20.26657819,73.0166178,DD
NCT of Delhi,2016,18,13.4,93,DL,88.1,392,28.6699929,77.23000403,DL
Goa,2016,9,89.6,116.7,GA,89.2,7,15.491997,73.81800065,GA
Gujarat,2016,33,67.9,98.4,GJ,78.3,312,22.2587,71.1924,GJ
Haryana,2016,36,91.2,100.9,HR,80.8,262,28.45000633,77.01999101,HR
Himachal Pradesh,2016,28,89.9,108.6,HP,78.7,57,31.10002545,77.16659704,HP
Jammu & Kashmir,2016,26,72.3,98.6,JK,86.3,55,34.29995933,74.46665849,JK
Jharkhand,2016,32,38,85.2,JH,89.7,79,23.80039349,86.41998572,JH
Karnataka,2016,28,73.5,105.8,KA,83.1,388,12.57038129,76.91999711,KA
Kerala,2016,12,69,99.9,KL,83.5,10,8.900372741,76.56999263,KL
Lakshadweep,2016,20,127.5,76.4,LD,82.2,1,10.56257331,72.63686717,LD
Madhya Pradesh,2016,50,81.5,81,MP,51.9,1405,21.30039105,76.13001949,MP
Maharashtra,2016,21,106.6,101.5,MH,81.5,770,19.25023195,73.16017493,MH
Manipur,2016,9,36.5,137.1,MN,81.7,14,24.79997072,93.95001705,MN
Meghalaya,2016,42,71.5,121.9,ML,73.7,589,25.57049217,91.8800142,ML
Mizoram,2016,32,94.4,118.6,MZ,72.8,93,23.71039899,92.72001461,MZ
Nagaland,2016,12,45.2,79.3,NL,63.59,30,25.6669979,94.11657019,NL
Odisha,2016,46,99.4,100.9,OD,77.82,868,19.82042971,85.90001746,OD
Puducherry,2016,11,71.7,165.2,PY,73.32,8,11.93499371,79.83000037,PY
Punjab,2016,23,75.8,101.2,PB,92.61,145,31.51997398,75.98000281,PB
Rajasthan,2016,43,30.3,82.7,RJ,66.2,1285,26.44999921,74.63998124,RJ
Sikkim,2016,18,118.1,81.3,SK,63.9,14,27.3333303,88.6166475,SK
Tamil Nadu,2016,19,75.6,89,TN,78.64,125,12.92038576,79.15004187,TN
Telangana,2016,34,72.6,80,TS,73.9,54,18.1124,79.0193,TS
Tripura,2016,20,42.5,108.2,TR,74.71,112,23.83540428,91.27999914,TR
Uttar Pradesh,2016,46,46.7,88.2,UP,76.8,167,27.59998069,78.05000565,UP
Uttarakhand,2016,34,76.3,110.1,UK,71.58,26,30.32040895,78.05000565,UK
West Bengal,2016,26,50.3,113.8,WB,93.77,745,22.58039044,88.32994665,WB
Andaman & Nicobar Island,2017,16,47.9,78.1,AN,43.4,4,11.66702557,92.73598262,AN
Andhra Pradesh,2017,34,83.5,102.4,AD,44.8,163,14.7504291,78.57002559,AD
Arunanchal Pradesh,2017,36,19,85.3,AR,57.4,6,27.10039878,93.61660071,AR
Assam,2017,44,32.7,98.7,AS,70.6,448,26.7499809,94.21666744,AS
Bihar,2017,38,17.7,87.4,BR,61.8,470,25.78541445,87.4799727,BR
Chandigarh,2017,14,28.7,144,CH,64.4,11,30.71999697,76.78000565,CH
Chhattisgarh,2017,39,97.8,83.7,CG,72.8,565,22.09042035,82.15998734,CG
Daman & Diu,2017,17,115.8,79.9,DN,98.3,11,20.26657819,73.0166178,DD
NCT of Delhi,2017,18,13.7,97.9,DL,74.2,296,28.6699929,77.23000403,DL
Goa,2017,8,75.1,110,GA,67,6,15.491997,73.81800065,GA
Gujarat,2017,30,66.7,97.7,GJ,77.1,520,22.2587,71.1924,GJ
Haryana,2017,33,79,101.3,HR,70.9,184,28.45000633,77.01999101,HR
